#ID	init_time	type	mass	wm	swm	r2D	theta	x	y	z	init_temp
178	0	0	3.0035e-11	0	0	148.49	-2.01158	-63.3536	-134.297	-1.26466	337.611
179	0	0	3.0035e-11	0	3.0035e-12	493.158	-1.76768	-96.468	-483.63	1.53396	184.993
180	0	0	3.0035e-11	1.2014e-11	6.007e-12	993.034	-0.133685	984.174	-132.359	7.27959	130.318
181	0	0	3.0035e-11	0	3.0035e-12	557.837	1.70166	-72.7904	553.067	1.63774	174.233
182	0	0	3.0035e-11	0	0	116.43	-3.02566	-115.648	-13.4674	1.10035	380.6
183	0	0	3.0035e-11	0	0	147.582	1.65748	-12.7766	147.028	-0.141119	338.391
184	0	0	3.0035e-11	1.2014e-11	6.007e-12	2298.76	-2.03974	-1038.92	-2050.6	-9.42675	85.6686
185	0	0	3.0035e-11	0	0	309.263	0.377987	287.432	114.134	-1.57666	233.484
186	0	0	3.0035e-11	0	0	120.23	1.4685	12.2773	119.601	-0.732892	374.509
187	0	0	3.0035e-11	0	0	132.41	1.50094	9.24155	132.087	0.69124	357.637
188	0	0	3.0035e-11	1.2014e-11	6.007e-12	764.514	-1.4205	114.471	-755.896	6.75303	148.614
189	0	0	3.0035e-11	0	0	82.2105	-1.02724	42.5182	-70.3617	-0.298286	453.467
190	0	0	3.0035e-11	0	0	96.2634	0.933494	57.2796	77.3673	0.212865	419.287
191	0	0	3.0035e-11	1.2014e-11	6.007e-12	698.241	2.83792	-666.292	208.796	2.23176	155.626
192	0	0	3.0035e-11	0	0	88.1331	-1.97579	-34.7254	-81.0036	0.784503	438.057
193	0	0	3.0035e-11	0	0	78.6237	1.7107	-10.9638	77.8555	0.352761	464.04
194	0	0	3.0035e-11	0	0	79.3936	3.01042	-78.7115	10.3846	0.679446	460.842
195	0	0	3.0035e-11	0	0	122.651	1.72271	-18.5607	121.239	0.390609	371.072
196	0	0	3.0035e-11	0	0	170.434	1.26269	51.6856	162.408	-0.997305	315.056
197	0	0	3.0035e-11	1.2014e-11	6.007e-12	1094	-0.821863	744.86	-801.264	-0.161075	124.16
198	0	0	3.0035e-11	6.007e-12	6.007e-12	596.845	-1.51736	31.8803	-595.993	1.48965	168.312
199	0	0	3.0035e-11	0	0	99.3893	3.05474	-99.0146	8.62159	-0.908004	412.576
200	0	0	3.0035e-11	0	0	94.2468	1.76128	-17.844	92.5421	0.362536	423.17
201	34298.6	1	3.0035e-08	0	0	159.429	-0.568242	134.375	-85.7969	-0.609867	325.388
202	259850	1	3.0035e-08	1.2014e-08	6.007e-09	840.426	0.682838	651.99	530.306	0.370137	141.919
203	363422	1	3.0035e-08	1.2014e-08	6.007e-09	1529.67	1.42963	215.228	1514.45	-15.1871	105.175
204	987755	1	3.0035e-08	0	0	68.4115	1.67756	-7.29014	68.022	-0.463325	497.262
