#ID	time	type	mass	wm	swm	r	x	y	z	vx	vy	vz	a	ecc	inc	formation_time	collision	collision_index
62	385767	0	2.54285e-10	6.007e-12	6.007e-12	596.024	-595.737	-18.4719	0.0456751	814.282	-26240.3	215.011	595.968	9.62265e-05	0.00819015	0	1	198
189	387030	0	5.54533e-08	0	0	64.9999	55.8104	33.3194	0.351533	-43616.4	73088.1	-127.438	76.1232	0.14611	0.00561186	0	0	-893615488
105	449067	0	3.04551e-08	0	0	251.11	-30.022	-249.309	-0.238573	41695.1	-3788.8	229.808	270.403	0.0770746	0.00554551	0	1	161
21	500171	0	6.06374e-08	0	0	183.827	-52.9981	176.021	0.308323	-44126.6	-12543.5	-180.188	173.688	0.0603915	0.00429527	0	1	119
70	509741	0	9.69263e-09	0	0	182.804	-171.603	-63.0073	0.0953633	13632.6	-47599.1	280.141	201.063	0.116255	0.00565894	0	1	7
99	513200	0	6.81769e-08	0	0	224.744	120.535	-189.687	-0.119967	34833.6	21255.6	67.1014	206.355	0.0909373	0.00173834	0	1	9
119	584478	0	1.45635e-07	0	0	185.046	-147.772	111.381	-0.251062	-24261.1	-37781.5	60.5207	169.459	0.118476	0.00184457	0	1	167
41	588190	0	6.36026e-08	0	0	137.336	126.631	-53.1588	0.153305	23451.3	52648.6	243.365	154.382	0.112478	0.00434517	0	1	167
98	605839	0	8.15294e-09	0	0	130.309	125.97	-33.3481	0.16039	13951.3	57494.5	-475.527	146.454	0.112148	0.00810758	0	1	167
93	596781	0	1.3356e-07	0	0	196.143	120.249	154.958	-0.525983	-36043.2	23479.7	162.511	175.662	0.142493	0.00446406	0	1	102
190	619852	0	4.22576e-08	0	0	64.9999	40.9966	-50.4407	-0.874439	66151.6	53756.8	1610.96	76.479	0.150018	0.023195	0	0	-893615488
93	620357	0	1.33561e-07	0	0	188.845	173.189	-75.2864	0.0835076	22495.3	38763.5	-114.705	175.387	0.138386	0.00266495	0	1	102
163	621620	0	6.62181e-09	0	0	132.154	90.4103	96.3881	0.0397947	-42137.5	40942.2	-452.229	148.549	0.111748	0.00770944	0	1	201
163	607033	0	6.62181e-09	0	0	158.525	-26.9116	-156.224	0.510726	48972.2	-4677.39	376.931	148.692	0.100074	0.00855651	0	1	102
190	619632	0	4.22576e-08	0	0	64.9998	40.011	-51.2259	-0.905254	67191.3	52459.1	1585.57	76.4902	0.150138	0.0232345	0	0	-1575314290
66	624505	0	3.39759e-08	0	0	293.036	229.609	-182.071	-0.14722	23157.3	29473.5	204.18	293.651	0.00494265	0.0054682	0	1	26
183	631828	0	4.67404e-08	0	0	150.471	-136.288	-63.7755	0.301542	21801.3	-44113.7	-147.465	135.17	0.115173	0.00357024	0	1	102
46	650512	0	1.85005e-08	0	0	293.986	293.594	15.1761	1.09473	-929.293	38029.5	115.766	304.807	0.0447195	0.00474626	0	1	26
65	828367	0	8.35894e-10	0	3.0035e-12	507.599	151.284	-484.531	-0.425655	27122.2	8583.63	269.11	507.575	0.00387777	0.00949332	0	1	174
92	882906	0	1.51787e-08	0	0	173.264	-163.367	-57.7217	-0.166993	22662.5	-44626.7	303.112	183.639	0.141452	0.0060586	0	1	7
127	987755	1	1.58389e-06	0	0	65	39.1416	-51.8935	0.0194405	63531.3	47919.6	1.81704	65.1204	0.00184869	0.000299955	132291	0	-1575314290
