#r [R_J]	sigma [M_J/R_J^2]	T [K]
1.86280402479	8.258928683463983e-07	1061.0060684884468
1.87442832887	8.287145695881164e-07	1061.7962431460433
1.88612517114	8.315471385760833e-07	1062.5902527698368
1.89789500427	8.343906206165643e-07	1063.3881030235625
1.90973828373	8.372450612132978e-07	1064.189799587246
1.92165546784	8.401105060683784e-07	1064.9953481572325
1.93364701778	8.429870010831443e-07	1065.8047544462186
1.94571339761	8.458745923590585e-07	1066.618024183283
1.95785507429	8.4877332619861e-07	1067.43516311392
1.97007251769	8.516832491062033e-07	1068.2561770000661
1.9823662006	8.546044077890612e-07	1069.0810716201358
1.99473659878	8.575368491581328e-07	1069.9098527690494
2.00718419094	8.604806203289959e-07	1070.7425262582683
2.0197094588	8.634357686227769e-07	1071.5790979158228
2.03231288707	8.664023415670598e-07	1072.4195735863455
2.04499496348	8.693803868968157e-07	1073.2639591311022
2.05775617882	8.723699525553211e-07	1074.1122604280258
2.07059702693	8.753710866950899e-07	1074.9644833717448
