#r [R_J]	sigma [M_J/R_J^2]	T [K]
343.0	9.744954382013839e-09	721.8866578732955
344.0	9.703633096253554e-09	718.9501503052923
345.0	9.66231181049327e-09	716.0136427372887
346.0	9.620990524732987e-09	713.0771351692852
347.0	9.579669238972705e-09	710.140627601282
348.0	9.538347953212422e-09	707.2041200332784
349.0	9.49702666745214e-09	704.267612465275
350.0	9.455705381691857e-09	701.3311048972715
351.0	9.414384095931571e-09	698.3945973292682
352.0	9.373062810171288e-09	695.4580897612645
353.0	9.331741524411006e-09	692.5215821932611
354.0	9.290420238650723e-09	689.5850746252578
355.0	9.24909895289044e-09	686.6485670572542
356.0	9.207777667130154e-09	683.7120594892508
357.0	9.166456381369872e-09	680.7755519212475
358.0	9.125135095609589e-09	677.839044353244
359.0	9.083813809849306e-09	674.9025367852405
360.0	9.042492524089022e-09	671.9660292172373
361.0	9.00117123832874e-09	669.0295216492336
362.0	8.959849952568457e-09	666.0930140812302
363.0	8.918528666808173e-09	663.1565065132268
364.0	8.87720738104789e-09	660.2199989452233
365.0	8.835886095287607e-09	657.2834913772199
366.0	8.794564809527323e-09	654.3469838092165
367.0	8.753243523767042e-09	651.4104762412131
368.0	8.711922238006756e-09	648.4739686732096
369.0	8.670600952246475e-09	645.5374611052061
370.0	8.62927966648619e-09	642.6009535372027
371.0	8.587958380725908e-09	639.6644459691993
372.0	8.546637094965625e-09	636.7279384011958
373.0	8.513902492255721e-09	633.7914308331923
374.0	8.48978203847408e-09	630.854923265189
375.0	8.46566158469244e-09	627.9184156971855
376.0	8.441541130910798e-09	624.9819081291821
377.0	8.417420677129156e-09	622.0454005611787
378.0	8.393300223347514e-09	619.1088929931752
379.0	8.369179769565873e-09	616.1723854251718
380.0	8.345059315784231e-09	613.2358778571684
381.0	8.32093886200259e-09	610.2993702891649
382.0	8.296818408220948e-09	607.3628627211614
383.0	8.272697954439307e-09	604.426355153158
384.0	8.248577500657666e-09	601.4898475851546
385.0	8.224457046876024e-09	598.5533400171512
386.0	8.200336593094384e-09	595.6168324491476
387.0	8.176216139312742e-09	592.6803248811443
388.0	8.1520956855311e-09	589.7438173131409
389.0	8.127975231749459e-09	586.8073097451373
390.0	8.103854777967817e-09	583.870802177134
391.0	8.079734324186175e-09	580.9342946091306
392.0	8.055613870404534e-09	577.9977870411271
393.0	8.031493416622892e-09	575.0612794731235
394.0	8.007372962841252e-09	572.1247719051203
395.0	7.98325250905961e-09	569.1882643371167
396.0	7.959132055277968e-09	566.2517567691133
397.0	7.935011601496327e-09	563.31524920111
398.0	7.910891147714685e-09	560.3787416331063
399.0	7.886770693933045e-09	557.442234065103
400.0	7.862650240151403e-09	554.5057264970997
401.0	7.838529786369761e-09	551.5692189290962
402.0	7.81440933258812e-09	548.6327113610927
403.0	7.790288878806478e-09	545.6962037930892
404.0	7.766168425024836e-09	542.7596962250858
405.0	7.742047971243195e-09	539.8231886570823
406.0	7.717927517461553e-09	536.8866810890788
407.0	7.693807063679913e-09	533.9501735210754
408.0	7.669686609898271e-09	531.0136659530721
409.0	7.64556615611663e-09	528.0771583850685
410.0	7.62144570233499e-09	525.1406508170653
411.0	7.597325248553348e-09	522.2041432490618
412.0	7.573204794771706e-09	519.2676356810583
413.0	7.549084340990064e-09	516.3311281130548
414.0	7.524963887208422e-09	513.3946205450513
415.0	7.50084343342678e-09	510.45811297704796
416.0	7.476722979645139e-09	507.52160540904447
417.0	7.452602525863497e-09	504.58509784104115
418.0	7.428482072081857e-09	501.6485902730376
419.0	7.4043616183002154e-09	498.7120827050342
420.0	7.380241164518574e-09	495.7755751370308
421.0	7.356120710736932e-09	492.8390675690274
422.0	7.33200025695529e-09	489.9025600010239
423.0	7.30787980317365e-09	486.96605243302037
424.0	7.2837593493920085e-09	484.02954486501704
425.0	7.259638895610367e-09	481.09303729701355
426.0	7.235518441828725e-09	478.1565297290101
427.0	7.211397988047083e-09	475.2200221610067
428.0	7.187277534265442e-09	472.2835145930033
429.0	7.163157080483801e-09	469.34700702499975
430.0	7.13903662670216e-09	466.41049945699643
431.0	7.114916172920518e-09	463.47399188899294
432.0	7.090795719138876e-09	460.53748432098945
433.0	7.066675265357235e-09	457.60097675298607
434.0	7.042554811575593e-09	454.66446918498264
435.0	7.018434357793952e-09	451.7279616169792
436.0	6.994313904012311e-09	448.7914540489757
437.0	6.970193450230669e-09	445.8549464809724
438.0	6.946072996449028e-09	442.91843891296884
439.0	6.921952542667386e-09	439.98193134496535
440.0	6.897832088885744e-09	437.045423776962
441.0	6.873711635104103e-09	434.1089162089585
442.0	6.8495911813224625e-09	431.1724086409551
443.0	6.825470727540821e-09	428.2359010729516
444.0	6.801350273759179e-09	425.2993935049483
445.0	6.777229819977537e-09	422.3628859369448
446.0	6.7531093661958956e-09	419.42637836894136
447.0	6.7289889124142555e-09	416.489870800938
448.0	6.704868458632614e-09	413.55336323293443
449.0	6.683717713224423e-09	410.616855664931
450.0	6.665497721561684e-09	407.6803480969276
451.0	6.647277729898944e-09	404.7438405289242
452.0	6.629057738236203e-09	401.80733296092063
453.0	6.610837746573463e-09	398.87082539291725
454.0	6.592617754910723e-09	395.9343178249139
455.0	6.574397763247983e-09	392.99781025691044
456.0	6.556177771585244e-09	390.06130268890695
457.0	6.537957779922504e-09	387.1247951209035
458.0	6.519737788259763e-09	384.1882875529001
459.0	6.501517796597023e-09	381.2517799848966
460.0	6.4832978049342836e-09	378.31527241689327
461.0	6.465077813271544e-09	375.3787648488898
462.0	6.446857821608804e-09	372.44225728088634
463.0	6.4286378299460636e-09	369.5057497128828
464.0	6.410417838283323e-09	366.5692421448795
465.0	6.392197846620584e-09	363.632734576876
466.0	6.373977854957844e-09	360.6962270088725
467.0	6.355757863295104e-09	357.7597194408692
468.0	6.337537871632364e-09	354.82321187286567
469.0	6.3193178799696236e-09	351.88670430486223
470.0	6.301097888306883e-09	348.95019673685886
471.0	6.282877896644144e-09	346.0136891688554
472.0	6.264657904981404e-09	343.0771816008519
473.0	6.246437913318664e-09	340.1406740328484
474.0	6.228217921655924e-09	337.20416646484506
475.0	6.2099979299931836e-09	334.2676588968415
476.0	6.191777938330444e-09	331.33115132883813
477.0	6.173557946667705e-09	328.39464376083475
478.0	6.155337955004964e-09	325.4581361928314
479.0	6.137117963342224e-09	322.52162862482794
480.0	6.118897971679484e-09	319.5851210568245
481.0	6.100677980016744e-09	316.6486134888209
482.0	6.082457988354005e-09	313.71210592081746
483.0	6.064237996691265e-09	310.77559835281403
484.0	6.046018005028524e-09	307.83909078481065
485.0	6.029708504992141e-09	304.9025832168072
486.0	6.014844057969767e-09	301.9660756488038
487.0	5.999979610947392e-09	299.0295680808004
488.0	5.985115163925018e-09	296.0930605127968
489.0	5.970250716902644e-09	293.1565529447936
490.0	5.9553862698802695e-09	290.22004537679
491.0	5.940521822857895e-09	287.28353780878655
492.0	5.925657375835521e-09	284.34703024078317
493.0	5.910792928813147e-09	281.41052267277973
494.0	5.895928481790773e-09	278.4740151047763
495.0	5.881064034768398e-09	275.5375075367729
496.0	5.866199587746024e-09	272.6009999687695
497.0	5.85133514072365e-09	269.6644924007658
498.0	5.836470693701276e-09	266.7279848327627
499.0	5.8216062466789014e-09	263.79147726475907
